gene,RRH109,RRH110,RRH111,RRH115,RRH116,RRH117,RRH121,RRH122,RRH123
ENSRNOG00000031855,6.337045531,4.267818027,4.457257106,3.23463563,2.3343767,3.081866858,5.847131371,4.922385574,7.804221558
ENSRNOG00000031859,174.3746542,138.7850926,161.8485467,169.9513627,129.1094098,120.7418114,177.5024703,155.3949587,168.9449328
ENSRNOG00000031864,23.41602472,19.41472746,18.67046371,24.3278255,21.74499265,21.03112565,20.5443154,19.62458088,18.53020734
ENSRNOG00000031875,0.260590967,0.109061041,0.183290609,0.213422319,0.178959987,0.223493653,0.289389092,0.129195399,0.047162809
ENSRNOG00000031879,0,0.531486556,0.251220682,0,0,0,0.075550619,0.108970478,0
ENSRNOG00000031889,189.8101495,166.9301652,196.0136552,185.6524562,150.9354173,159.1382034,199.0465863,196.7873396,204.4692681
ENSRNOG00000031890,86.25040615,87.72179225,79.95793641,53.4104536,57.32455889,61.48565525,94.13223825,75.56641278,100.1825699
ENSRNOG00000031896,32.01948699,30.5712681,33.03202631,26.7895606,29.11547598,26.97863152,34.71265428,30.92411482,31.23198314
ENSRNOG00000031902,8.514080627,6.539638082,6.12941383,5.104401516,4.26488285,6.528873621,6.864791314,6.53983709,5.728569998
ENSRNOG00000031915,6.320533382,5.182937162,4.066136923,4.236573885,4.446473896,4.759684986,4.414401582,3.903752622,4.687264521
ENSRNOG00000031916,6.255973398,9.044986793,6.254764674,4.320576623,4.24949791,4.49479469,3.797027892,3.796547071,2.95824072
ENSRNOG00000031917,2.160707823,1.500446715,2.228991049,1.992445002,1.582782908,2.086467867,2.163349215,2.006958635,1.251371706
ENSRNOG00000031930,2.000747424,1.947857942,2.21567974,0.9916818,1.169367404,1.849790644,1.242616143,1.318240877,0.893701952
ENSRNOG00000031934,60.54653704,86.24961658,151.0967495,282.4075863,362.8708058,352.6397811,51.8083844,221.5485953,54.8348827
ENSRNOG00000031935,1.04609763,0.718452182,0.905586015,1.523106144,1.399966964,0.368072551,1.991490431,1.20298239,1.631124824
ENSRNOG00000031938,11.96309654,11.97102064,10.03708799,11.73905865,11.19371027,10.33484084,10.15723353,10.75370578,8.781042893
ENSRNOG00000031939,0.485115233,1.08281415,1.091882105,0.965307022,1.599126179,0.739653339,0.677255193,0.710428659,0.234128322
ENSRNOG00000031947,380.5798735,282.7350691,341.7009506,330.1376503,251.5459719,277.6210218,321.2832577,317.2042071,347.088799
ENSRNOG00000031950,2.899751112,4.314976904,2.124566597,2.242939805,1.548862404,2.901438371,2.951854607,2.819974888,3.061384128
ENSRNOG00000031951,0.770454227,1.302812515,0.755390628,0.577882809,0.555829472,0.427166768,0.400019735,0.804906935,0.67607238
ENSRNOG00000031965,97.52700754,82.28027391,88.09348761,84.80296919,83.77326823,83.93565238,106.7888559,96.28302907,112.88586
ENSRNOG00000031967,3.477238276,0.876293949,0.788957513,2.286434398,1.746051301,1.795747899,2.135397665,1.813773077,1.136844574
ENSRNOG00000031969,2.584390658,4.650163136,2.819398947,6.527380954,7.340759416,6.393115068,4.284072415,4.763082647,3.360044697
ENSRNOG00000031974,0.182588962,0.072777227,0.14677339,0.085450961,0.071652782,0.149138942,0.124143074,0.23078565,0.075533006
ENSRNOG00000031979,4322.504755,4358.632532,4902.518406,2780.549323,2846.308158,2680.417442,5814.418092,4187.359515,6061.287946
ENSRNOG00000031993,38.9001502,42.1422203,35.31151822,33.83491763,35.22456889,31.41646783,23.12157549,25.96349398,22.25249791
ENSRNOG00000031995,15.47824081,14.77535463,14.74006836,17.82001035,17.47718333,12.28041739,16.36104524,14.37921598,16.08395322
ENSRNOG00000031997,2.769574699,3.312952837,3.874519647,3.442079872,4.077207531,2.939600845,1.961420133,2.57229297,2.481320289
ENSRNOG00000032002,0.705673111,0.689113309,0.744518832,0.821961561,0.840005718,0.524519332,1.321022871,0.764304201,1.200526447
ENSRNOG00000032018,2.4315975,1.809170278,1.006059405,1.527221905,1.615319949,1.417553418,1.210225375,1.280084114,0.483225504
ENSRNOG00000032019,4.0375698,5.130000668,5.199175849,7.461370179,8.161949593,9.021006199,3.468758862,4.102975383,5.261297365
ENSRNOG00000032026,0.539472624,0.573401899,0.397515123,0.280523553,0.141135637,0.352513648,0.440147897,0.572146572,0.297557156
ENSRNOG00000032027,10.40588928,7.672495866,8.044460266,8.439890902,6.724161718,7.718506811,11.38234148,8.017985872,11.58257785
ENSRNOG00000032034,59.82930422,64.61516068,54.08644361,59.85576122,63.56202861,60.10469229,71.05140167,65.65054225,82.9428614
ENSRNOG00000032039,14.19326785,14.98012462,14.68095625,9.853389811,11.4231656,10.90589098,12.95991031,12.26588199,14.43617139
ENSRNOG00000032042,13.30523576,12.10349679,10.96570601,6.976163918,7.947702543,8.745367155,12.26135772,10.90178241,12.80728016
ENSRNOG00000032048,3.576266305,5.511436954,5.420179124,5.606021873,7.021370959,7.682625343,2.751540862,2.215311865,2.993640928
ENSRNOG00000032052,0.733045374,0.520613263,0.421853387,1.673729319,0.793262356,1.676507215,1.078358346,0.701441717,1.39906042
ENSRNOG00000032055,13.7346458,15.36342411,13.99940324,13.56400953,13.46741746,12.20570579,13.11837185,13.91200969,13.68157823
ENSRNOG00000032058,11.85873367,12.4470128,12.99974481,8.97995529,10.47078806,8.556171336,12.04568507,10.74103833,12.09390152
ENSRNOG00000032062,0.513783451,0,0.722754769,0.374031404,0.352839092,0.293761373,1.059615308,0.313504971,0.74389289
ENSRNOG00000032070,3.545057715,5.183051252,4.826071203,2.492905596,3.449682496,3.014961574,3.426831797,2.702005376,3.509247096
ENSRNOG00000032087,7.763549334,4.608732304,6.738625347,4.629681821,3.32751836,3.777783177,4.088008756,5.064806347,3.946178255
ENSRNOG00000032095,0.266126396,0.198004795,0.124789358,0.387476978,0.4873638,1.014404742,0.394048327,0.378903884,0.513756092
ENSRNOG00000032100,2.423024026,2.3220737,1.852468158,2.204934484,2.025743713,2.529844064,1.387179738,2.169541596,1.906646556
ENSRNOG00000032130,20.5823909,12.48409355,18.88296114,18.40409195,19.05137229,16.37316138,19.73365568,17.74662067,18.78738279
ENSRNOG00000032134,224.2430411,201.8750149,194.8118167,259.4098016,229.3647752,244.3203817,250.4492939,238.6677917,243.5720733
ENSRNOG00000032135,0.367927758,0.547495187,0.25878757,1.026755636,0.449196756,1.542689621,1.400872324,0.823186622,1.065424907
ENSRNOG00000032136,35.66513459,32.94671746,31.22902898,43.40322756,40.65490427,37.55249555,35.90465718,43.21143516,36.72971142
ENSRNOG00000032150,1.324555273,1.577752004,1.236222636,0.537765202,0.664732515,0.40779261,0.792040836,0.718857484,0.792931184
ENSRNOG00000032152,11.08613403,11.35291594,12.79458687,10.20494457,10.9877197,11.85080208,10.22802562,9.963901394,9.79267974
ENSRNOG00000032160,1.300873435,0.508138504,1.006487971,1.183785495,0.655138399,0.595031024,1.03188146,1.230356769,0.941749385
ENSRNOG00000032162,20.62283885,22.11174874,19.59651709,24.06488451,22.73767142,26.30142648,21.54682745,23.29243964,20.45013678
ENSRNOG00000032178,6.066173254,8.388294717,4.911948563,4.459223606,4.768798115,3.451482646,4.844683453,4.721684469,4.927073999
ENSRNOG00000032180,2.115835513,2.881966277,2.695174418,0.727708399,1.388209123,2.133736456,1.94527388,1.22498155,1.881495048
ENSRNOG00000032182,3.273354666,3.252228762,3.65008873,3.283867387,4.020751352,3.651857072,3.141128095,2.508885001,3.178865816
ENSRNOG00000032183,17.58378741,21.22050314,21.7577114,12.13447223,14.24974139,14.48085338,23.69621284,18.21792437,22.28359896
ENSRNOG00000032192,6.180847839,7.390780271,7.396214218,6.544904378,7.258213718,6.746666453,7.895393438,6.27560391,8.222692831
ENSRNOG00000032204,36.16455595,31.15755837,30.45176264,41.71140618,38.38452614,43.02488569,43.44543136,36.63890927,45.76981484
ENSRNOG00000032208,4.625587037,5.841585418,5.565157704,2.304011088,2.675037182,2.505534224,8.96037119,6.740532606,9.076549603
ENSRNOG00000032215,16.00212016,14.05296436,16.1581258,15.03243058,12.37058511,12.64201326,16.30203654,15.98992573,15.6268857
ENSRNOG00000032219,1.458720851,1.132513408,0.802967039,1.893024207,0.871105858,0.290100795,1.690356844,1.335142957,2.112041689
ENSRNOG00000032224,425.240886,284.6341216,457.3056504,251.146754,126.3557253,191.0355714,244.4254443,330.9373846,324.7182161
ENSRNOG00000032231,0.094471783,0.210868216,0.106317059,0.110039866,0.01730085,0.216061149,0.083929551,0.063410199,0.109426471
ENSRNOG00000032232,6.550180545,4.741784402,9.214337703,7.732692731,6.484057516,8.907355727,8.200855469,6.913466141,7.689588457
ENSRNOG00000032238,12.81044956,12.25926153,14.65890538,9.498836368,8.902873358,9.234152624,11.68046175,13.13819271,12.14317681
ENSRNOG00000032240,0.889024859,0.892967041,0.812901857,0.809006245,0.949720943,0.57608444,1.400985608,1.211523304,1.608993218
ENSRNOG00000032254,14.13351787,15.82459128,13.19035573,11.78753543,12.22115918,11.54876211,13.72896142,9.352560799,13.08606366
ENSRNOG00000032258,5.730918104,7.091401857,7.795736839,5.938119101,5.960849541,4.657390277,7.181624228,6.87166225,7.089244346
ENSRNOG00000032259,0.285879007,0.319051859,0.22980267,0.445967735,0.486141725,0.560415378,0.570153318,0.211820247,0.177392713
ENSRNOG00000032261,0.279364244,0.441689942,0.392990157,0.084739819,0.127901649,0.159729597,0.472742125,0.241492037,0.101120946
ENSRNOG00000032266,0.050268319,0.168304076,0.565711758,0.18297524,0.230144017,0,0.223294052,0.153365858,0.072782113
ENSRNOG00000032289,0.704626377,0.224682821,0.56641103,0.109920848,0.184342797,0.345323938,0.191631484,0.092133259,0.072872078
ENSRNOG00000032293,16.89730279,16.87956779,18.8928475,15.90326597,17.99955785,15.4733481,18.46203978,17.76275841,17.67468187
ENSRNOG00000032297,38.11582041,37.93056925,36.76421771,94.833514,76.94877343,82.31448525,18.14437132,30.71434479,13.64984586
ENSRNOG00000032300,1.313462533,1.191022796,3.464414241,2.211196745,1.578528115,1.126480105,1.771174596,1.753194381,2.614873494
ENSRNOG00000032303,80.08560861,62.27757751,92.12837485,74.4621044,51.99452447,47.12215571,73.70144948,74.53580683,77.42087655
ENSRNOG00000032307,6.670187282,7.043149611,8.135226822,6.548051029,6.374976571,5.264777397,8.187595202,8.16070472,7.332607194
ENSRNOG00000032317,11.0229259,8.912677173,10.44300779,11.38186863,6.38554283,11.83322747,9.849964148,13.0746512,8.305605211
ENSRNOG00000032327,7.523598868,7.921342333,10.11772684,2.790239504,3.791157976,3.300676162,5.690133733,5.709647802,6.679799386
ENSRNOG00000032328,0.882209001,0.605894674,0.334123507,0.938662979,0.776736057,0.85362159,1.055064397,0.693597091,0.442151336
ENSRNOG00000032339,6.421132646,5.318685276,4.963336575,2.507700079,2.863237308,2.715271962,4.711380048,2.98959499,4.38217067
ENSRNOG00000032343,12.75584672,9.710656334,12.12113729,10.51614126,7.193671695,11.59199444,11.95423967,10.79892914,10.51867633
ENSRNOG00000032348,1.980174518,1.519340747,1.218687563,1.711847378,1.699847905,0.566093345,1.57071804,1.88793837,1.254330032
ENSRNOG00000032364,8.319456202,10.20736115,8.139747513,8.968303095,9.912922248,11.16004651,8.189746488,6.71163945,6.910725972
ENSRNOG00000032376,3.014381554,2.484306179,1.630931533,2.970951042,3.057402975,2.439423887,3.26657472,1.754449515,2.75295441
ENSRNOG00000032381,19.3471726,18.43134881,18.16141709,15.45025071,14.80218957,15.64657461,17.77405095,14.90828356,17.73398313
ENSRNOG00000032391,41.75431014,44.80920218,45.95029206,32.9918992,36.86791756,35.57399965,38.3513342,45.77540597,37.41776794
ENSRNOG00000032394,3.092456091,2.971951721,1.329243607,2.501433654,3.382243082,2.815936202,2.45300428,2.428616303,3.02644609
ENSRNOG00000032395,7.76080843,6.819651502,7.754861504,8.383328992,8.299784049,8.833633119,7.641462536,5.753449211,7.721957747
ENSRNOG00000032396,0.610840452,0.50232089,0.203515531,0.210641847,0.206066573,0.147054647,0.346822977,0.608135284,0.069822556
ENSRNOG00000032398,3.555844882,4.0985717,3.7925871,10.70464091,8.780397857,11.29866802,4.438936879,5.219818493,4.177807902
ENSRNOG00000032401,4.260164192,4.525923492,3.572691708,3.727614286,3.71332972,4.122116332,4.860929877,4.561631371,4.270274475
ENSRNOG00000032404,31.23116125,38.39944723,27.17508278,18.33982011,19.5795871,13.92413476,21.83386942,24.6419484,22.88334928
ENSRNOG00000032407,0.862655477,0.558398693,1.019359851,0.26376346,0.31596043,0.473503502,0.492679673,0.505327504,0.449645427
ENSRNOG00000032410,54.70726178,54.63163524,55.40402502,55.01615199,50.67897769,58.01864023,64.17303213,58.76361385,63.12038273
ENSRNOG00000032414,10.2681079,13.93645815,11.28083102,17.923063,19.40033779,15.70086224,13.14448999,12.26915716,12.12488645
ENSRNOG00000032420,1.708419798,1.588884633,1.82471712,1.635261231,1.477428024,2.243040416,1.485652735,1.737431395,0.732910788
ENSRNOG00000032426,0.312249529,0.453027076,0.263550531,0.113657933,0.343098135,0.571302793,0.118887938,0.171478083,0.452097481
ENSRNOG00000032429,0.168104612,0.455627077,0.15202148,0.27972387,0.131937472,0.192231344,0.236209869,0.304063303,0.295549895
ENSRNOG00000032432,0.265432455,0.315981577,0.049785585,0.090175542,0.016203099,0.121411154,0.022458333,0.167362742,0
ENSRNOG00000032435,0.131346253,0.048862474,0.307947933,0.573715912,0.200448015,0.100131565,0.111132524,0.133576715,0.126781745
ENSRNOG00000032436,21.52165665,22.13626491,23.29965374,23.59450207,22.7959599,21.45380063,20.61550172,21.41403281,19.02203698
ENSRNOG00000032437,14.26147832,16.50554016,15.4178665,10.08455536,10.51912819,12.1249524,14.13651972,11.72845512,14.37234073
ENSRNOG00000032439,8.552612874,8.994895199,9.881549578,10.58642457,9.930184937,9.921025749,8.821312244,7.790465686,9.099966969
ENSRNOG00000032441,10.95538852,12.93468804,10.7416763,5.880561496,7.220144179,7.514046479,11.85514081,9.692005303,12.64695531
ENSRNOG00000032442,0.270247822,0.804284965,0.126721937,0.721375834,0.82485245,1.44216037,0.457315252,0.439739273,0.521712491
ENSRNOG00000032443,0.143455098,0.853873879,0.33633773,0.626606927,0.897602208,1.367033989,0.197239021,1.057711097,0.10385234
ENSRNOG00000032446,3.267571721,3.469133781,2.880332173,1.567827964,1.583424416,1.844007036,1.770577382,1.573058977,1.720373447
